우선순위,시설유형,시설명,도로명주소,지번주소,위도,경도,관리주체,데이터일자
2,업무시설,수원세관,경기도 수원시 영통구 창룡대로 315,경기도 수원시 영통구 이의동 817-1,37.296663,127.043488,공공,2021-11-30
2,업무시설,수원지방검찰청,경기도 수원시 영통구 법조로 91,경기도 수원시 영통구 하동 991,37.289943,127.067669,공공,2021-11-30
1,업무시설,국립농산물품질관리원수원사무소,경기도 수원시 권선구 서호동로14번길 84,경기도 수원시 권선구 서둔동 27-59,37.264736,126.990351,공공,2021-11-30
1,업무시설,경기도교통정보센터,경기도 수원시 권선구 칠보로1번길 38,경기도 수원시 권선구 금곡동 746-5,37.268045,126.936804,공공,2021-11-30
2,업무시설,대한적십자사경기도지사,경기도 수원시 권선구 권광로 129,경기도 수원시 권선구 권선동 1015-6,37.259573,127.030437,공공,2021-11-30
1,업무시설,경기도건설본부,경기도 수원시 권선구 칠보로1번길 20,경기도 수원시 권선구 금곡동 781-2,37.268008,126.937334,공공,2021-11-30
2,업무시설,한국산업인력공단경기지사,경기도 수원시 권선구 호매실로 46-68,경기도 수원시 권선구 탑동 906,37.258184,126.968403,공공,2021-11-30
2,업무시설,경인지방우정청,경기도 수원시 권선구 호매실로 22-55,경기도 수원시 권선구 탑동 910,37.258505,126.970331,공공,2021-11-30
2,업무시설,수원시농업기술센터,경기도 수원시 권선구 온정로 45,경기도 수원시 권선구 오목천동 40,37.249976,126.963731,공공,2021-11-30
2,업무시설,국립산림과학원산림생명자원연구부,경기도 수원시 권선구 온정로 39,경기도 수원시 권선구 오목천동 44-3,37.252083,126.958258,공공,2021-11-30
1,업무시설,수원시자동차등록사업소,경기도 수원시 권선구 서부로 1600,경기도 수원시 권선구 고색동 886-70,37.252378,126.976369,공공,2021-11-30
3,숙박시설,수원 노보텔엠베스더호텔,경기도 수원시 팔달구 덕영대로 902,경기도 수원시 팔달구 매산로1가 18-7,37.268307,126.999146,민간,2021-11-30
1,관광휴게시설,지지대쉼터공원,경기도 수원시 장안구 경수대로 1283,경기도 수원시 장안구 이목동 563,37.325522,126.985848,공공,2021-11-30
1,도서관,수원시립 영통도서관,경기도 수원시 영통구 청명로 151,경기도 수원시 영통구 영통동 961-1,37.257127,127.071204,공공,2021-11-30
2,도서관,경기평생교육학습관,경기도 수원시 권선구 권중로 55,경기도 수원시 권선구 권선동 1234,37.252317,127.032038,공공,2021-11-30
2,도서관,수원시립 버드내도서관,경기도 수원시 권선구 세권로102번길 20,경기도 수원시 권선구 세류동 503-2,37.256599,127.014821,공공,2021-11-30
1,도서관,지혜샘도서관,경기도 수원시 권선구 동탄원천로 818,경기도 수원시 권선구 권선동 1310,37.247971,127.039749,공공,2021-11-30
1,근린공원,숙지공원 주차장,경기도 수원시 팔달구 화양로68번길,경기도 수원시 팔달구 화서동 264,37.284001,126.996751,공공,2021-11-30
1,근린공원,수원 농민회관,경기도 수원시 팔달구 수성로 92,경기도 수원시 팔달구 화서동 436-3,37.281601,126.988945,공공,2021-11-30
2,근린공원,올림픽공원 주차장,경기도 수원시 권선구 효원로256번길 16,경기도 수원시 권선구 권선동 1012,37.262107,127.027008,공공,2021-11-30
2,병원,동수원병원,경기도 수원시 팔달구 중부대로 165,경기도 수원시 팔달구 우만동 441,37.278129,127.034326,민간,2021-11-30
3,병원,쉬즈메디산부인과의원,경기도 수원시 팔달구 장다리로 288,경기도 수원시 팔달구 인계동 958,37.274297,127.029055,민간,2021-11-30
2,병원,아주대병원,경기도 수원시 영통구 월드컵로 164,경기도 수원시 영통구 원천동 산26-6,37.279441,127.047465,민간,2021-11-30
3,병원,S서울병원,경기도 수원시 영통구 중부대로246번길 14,경기도 수원시 영통구 매탄동 154-1,37.274637,127.041709,민간,2021-11-30
