인구이동_기점,인구이동_종점,0세_19세 일평균 외부유입 인구,20세_39세 일평균 외부유입 인구,40세_64세 일평균 외부유입 인구,65세 이상 일평균 외부유입 인구,남성_일평균 외부유입 인구,여성_일평균 외부유입 인구,2020년 1월_일평균 외부유입 인구,2020년 2월_일평균 외부유입 인구,2020년 3월_일평균 외부유입 인구,2020년 4월_일평균 외부유입 인구,2020년 5월_일평균 외부유입 인구,2020년 6월_일평균 외부유입 인구,2020년 7월_일평균 외부유입 인구,2020년 8월_일평균 외부유입 인구,2020년 9월_일평균 외부유입 인구,2020년 10월_일평균 외부유입 인구,2020년 11월_일평균 외부유입 인구,2020년 12월_일평균 외부유입 인구,주중_새벽(0시-6시)_일평균 외부유입 인구,주중_출근(7시-9시)_일평균 외부유입 인구,주중_주간(10시-17시)_일평균 외부유입 인구,주중_퇴근(18시-20시)_일평균 외부유입 인구,주중_야간(21시-23시)_일평균 외부유입 인구,주말_첨두시(11시-19시)_일평균 외부유입 인구,주말_비첨두시(20시-10시)_일평균 외부유입 인구,데이터기준일자
광명시,권선1동,20.13,236.64,233.98,12.7,187.84,315.62,586.77,478.68,479.64,512.78,455.16,580.51,472.55,422.66,453.57,621.71,578.46,400.95,73.68,75.32,269.03,36,49.58,266.95,236.08,2021-11-30
광명시,권선2동,2.9,47.55,73.34,9.9,58.06,75.61,161.72,132.53,112.51,132.66,215.2,121.82,112.77,111.95,114.54,152.41,125.3,109.33,16.93,17.06,59.66,10.46,12.82,85.41,90.46,2021-11-30
광명시,금곡동,34.64,199.32,269.69,36.9,232.69,307.85,593.83,408.11,466.6,423.59,466.81,577.98,602.95,657.12,552.76,464.92,532.48,728.33,93.48,78.37,264.44,48.62,67.35,266.24,244.78,2021-11-30
광명시,망포1동,3,115.64,127.72,17.36,107.33,156.4,246.33,242.79,278.14,249.6,268.26,235.09,291.14,215.99,204.14,303.86,319.9,306.64,32.1,37.88,159.1,24.57,26.86,113.17,108.27,2021-11-30
광명시,망포2동,1.08,40.61,52.98,4.73,38.4,61,149.4,168.4,99.57,80.71,117.45,75.17,76.13,69.8,72.31,106.16,87.16,92.4,19.81,14.43,53.61,8.79,10.49,32.26,47.68,2021-11-30
광명시,매교동,1.01,29.95,54.35,1.73,20.4,66.64,82.57,65.79,52.48,116.38,84.06,88.36,90.85,85.82,85.11,118.13,96.18,77.88,7.26,19.62,64.48,4.38,4.36,28.41,24.88,2021-11-30
광명시,매산동,45.76,446.63,366.66,31.33,423.51,466.86,1071.86,817.6,596.45,755.22,886,898.5,923.38,960.52,896.17,1082.97,1019.76,771.59,73.41,110.44,471.22,108.16,103.34,350.19,600.18,2021-11-30
광명시,매탄1동,4.83,12.33,18.14,2.49,15.49,22.3,49.97,34.88,46.64,73,28.36,38.61,25.1,14.33,22.89,49.97,36.3,29.45,6.62,3.95,14.66,2.89,4.88,22.4,19.48,2021-11-30
광명시,매탄2동,21.84,176.44,204.53,33.44,164.01,272.25,521.43,473.88,438.71,374.63,409.67,557.74,548.65,377.71,371.99,419.88,397.04,344.77,67.43,70.72,219.82,32.25,45.59,230.46,206.91,2021-11-30
광명시,매탄3동,9.19,413.12,360.17,15.15,174.41,623.22,866.22,849.12,799.19,817.49,783.18,803.17,896.04,723.93,756.92,807.17,809.38,662.9,62.13,185.25,590.93,73.95,61.9,183.19,169.71,2021-11-30
광명시,매탄4동,0.92,33.78,48.2,0.29,45.75,37.43,84.72,74.48,74.35,103.4,120.66,69.73,91.26,80.65,86.83,90.68,65.48,55.16,10.18,16.27,43.92,6.46,8.29,47.49,30.81,2021-11-30
광명시,서둔동,7.88,201.48,281.5,13.28,196.99,307.15,467.79,380.68,487.01,567.01,501.53,450.84,532.25,520.98,582.1,578.33,484.58,490.86,40.58,87.42,303.48,41.76,35.86,189.4,302.27,2021-11-30
광명시,세류1동,2.33,26.76,57.89,2.68,33.01,56.64,104.39,87.73,68.29,126.31,56.71,77.78,102.56,87.32,79.53,103.38,129.96,53.53,14.6,12.36,39.24,10.48,11.93,45.72,46.56,2021-11-30
광명시,세류2동,7.47,71.66,105.72,13.72,52.71,145.86,187.65,173.06,154.68,158.22,167.69,180.78,207.25,291.3,150.86,287.49,274.11,147.13,27.93,30.21,102.09,19.7,19.56,95.74,100.5,2021-11-30
광명시,세류3동,0.88,16.77,44.61,5.72,20.14,47.83,60.74,43.02,32.76,32.47,52.93,75.73,80.12,169.4,67.48,104.2,50.43,42.19,17.56,6.97,20.18,4.76,9.46,54.46,35.63,2021-11-30
광명시,송죽동,9.27,57.81,67.22,4.1,70.3,68.12,136.69,151.8,214.75,103.05,130.44,144.29,135.49,153.5,80.33,106.6,137,165.01,23.44,18.83,69.52,12.3,14.69,74.28,63.2,2021-11-30
광명시,연무동,15.05,78.69,122.07,12.92,79.48,149.25,175.99,153.64,223.52,207.26,266.56,245.88,239.13,182.26,206.7,332.25,283.84,223.81,23.16,28.97,128.1,22.38,22.7,93.79,143.55,2021-11-30
광명시,영통1동,9.72,49.48,48.52,6.97,55.97,58.71,91.01,222.63,49.32,124.22,95.5,91.49,123.95,167.54,54.93,63.69,168.47,129.79,23.77,12.62,48.23,9.13,16.12,73.5,53.33,2021-11-30
광명시,영통2동,2.97,129.96,109.84,36.66,115.7,163.74,254.75,294,271.55,303.06,201.16,297.38,338.7,277.64,340.26,304.7,282.88,191.47,26.99,55.03,180.28,28.88,29.74,84.25,90.67,2021-11-30
광명시,영통3동,25.72,187.5,160.62,5.18,126.69,252.33,286.38,320.46,292.69,358.98,381.85,536.62,401.17,460.48,326.53,460.7,438.07,285.23,51.74,39.54,184.08,43.95,52.89,201.15,195.06,2021-11-30
광명시,영화동,30.33,106.96,137.75,16.72,111.94,179.83,349.11,306.66,237.67,272.16,348.27,380.52,310.78,246.3,221.23,311.41,286.62,231.21,45.84,44.84,163.8,23.65,32.97,116.68,126.35,2021-11-30
광명시,우만1동,11.02,56.96,101.59,18.64,58.45,129.76,205.85,166.08,123.29,149.58,179.77,189.44,173.58,163.35,267.2,255.21,208.56,177.16,20.84,26.73,116.52,16.39,18.83,63.3,96.95,2021-11-30
광명시,우만2동,11.76,50.84,51.54,12.45,36.25,90.35,128.54,87.84,126.27,95.28,139.52,157.14,95.11,114.83,110.98,203.88,151.36,106.18,21.14,19.84,66.23,8.11,13.29,59.14,62.38,2021-11-30
광명시,원천동,19.84,297.11,181.77,29.6,142.25,386.07,613.46,704.43,527.87,472.52,529.25,523.62,521.04,428.1,462.91,541.6,565.91,457.64,64.14,80.83,319.86,48.08,56.34,228.21,197.01,2021-11-30
